feature,importance
bwd packet length min,0.4541695
destination port,0.14627044
total backward packets,0.05274717
subflow bwd packets,0.042212814
fwd iat total,0.036427874
min packet length,0.017210744
init_win_bytes_backward,0.016409772
fwd iat mean,0.0156582
fwd header length.1,0.015411373
packet length std,0.013356756
bwd packet length std,0.013112164
fwd packet length std,0.013087926
fwd header length,0.011789332
packet length variance,0.009177096
fwd iat min,0.008837781
flow packets/s,0.008720223
bwd packet length mean,0.0079286415
bwd packets length total,0.006766886
min_seg_size_forward,0.006281901
bwd packets/s,0.0062117875
max packet length,0.0061569535
idle max,0.005520431
bwd iat total,0.0052019386
subflow fwd bytes,0.0050594164
packet length mean,0.0048462977
init_win_bytes_forward,0.004366308
fwd iat max,0.004169758
down/up ratio,0.004083556
fwd packets length total,0.004063902
flow iat min,0.003982891
subflow fwd packets,0.0038285549
act_data_pkt_fwd,0.003642632
flow iat std,0.003523766
flow iat max,0.00321995
idle mean,0.0028762738
bwd iat max,0.002596553
idle min,0.0025760804
fwd packet length max,0.0025063271
total fwd packets,0.002260717
fwd packet length min,0.0021584039
bwd iat min,0.0020475313
flow iat mean,0.0019793157
average packet size,0.0018519192
avg bwd segment size,0.0016699088
bwd iat mean,0.0016240876
bwd packet length max,0.0012863232
flow bytes/s,0.0012006937
fwd packets/s,0.001200321
flow duration,0.0011764906
urg flag count,0.0010837712
fin flag count,0.0010779644
bwd header length,0.0007701717
ack flag count,0.0007539945
bwd iat std,0.0006461583
subflow bwd bytes,0.0005903837
active max,0.0005319201
psh flag count,0.0004466794
fwd packet length mean,0.00038803305
active min,0.00034866214
fwd iat std,0.00034808493
fwd psh flags,0.00034709024
active mean,0.00013581874
active std,6.555679e-05
rst flag count,0.0
bwd psh flags,0.0
fwd urg flags,0.0
bwd urg flags,0.0
syn flag count,0.0
bwd avg bulk rate,0.0
avg fwd segment size,0.0
cwe flag count,0.0
bwd avg packets/bulk,0.0
bwd avg bytes/bulk,0.0
fwd avg bulk rate,0.0
fwd avg packets/bulk,0.0
fwd avg bytes/bulk,0.0
ece flag count,0.0
idle std,0.0
